genre,average_male,average_female,average_10s,average_20s,average_30s,average_40s,average_50_up,num_of_male,num_of_female,num_of_10s,num_of_20s,num_of_30s,num_of_40s,num_of_50_up
드라마,8.48,8.53,8.86,8.53,8.41,8.49,8.5,184030,198597,16913,187577,94243,61687,22068
코미디,8.73,8.7,9,8.8,8.64,8.59,8.57,84879,115683,7371,88207,59988,35836,8827
액션,8.39,8.53,8.77,8.51,8.37,8.41,8.42,217289,215330,17527,202381,114351,76107,21794
스릴러,8.41,8.43,8.74,8.46,8.34,8.34,8.38,121561,117042,10325,124818,56996,35229,11394
로맨스,8.61,8.46,8.96,8.59,8.38,8.4,8.39,34835,43673,4387,43683,16949,9795,3696
범죄,8.46,8.56,8.82,8.54,8.43,8.48,8.47,83313,86605,6131,84413,44429,25938,8656
모험,8.48,8.59,8.93,8.63,8.43,8.39,8.48,97643,96364,8458,88962,56149,33492,7077
애니메이션,8.83,8.76,9.28,8.91,8.72,8.67,8.81,22469,44717,2769,17554,29362,15920,1530
판타지,8.6,8.61,9.05,8.66,8.54,8.53,8.41,55746,77449,6372,55475,40227,26046,4691
가족,8.73,8.74,9.1,8.84,8.68,8.65,8.8,25821,51928,2748,23832,31258,17712,2139
SF,8.21,8.35,8.72,8.34,8.18,8.11,8.22,55808,42674,4625,47167,27247,16098,3606
미스터리,8.2,8.26,8.53,8.26,8.14,8.14,8.23,16711,18232,1951,19344,7428,4605,1631
공포,8.24,8.22,8.46,8.26,8.17,8.19,8.18,30407,28806,3069,31414,14096,8656,2258
다큐멘터리,9.46,9.57,9.29,9.49,9.56,9.55,9.42,3602,4667,120,2591,2844,2025,682
전기,8.71,8.84,8.94,8.78,8.74,8.77,8.84,13901,18404,1420,15561,7798,5164,2410
역사,8.39,8.55,8.68,8.47,8.42,8.5,8.54,30447,32418,2006,25923,16732,13243,4952
음악,8.33,8.35,8.17,8.34,8.36,8.54,8.26,1237,1213,81,1352,629,278,110
단편,8.96,8.95,9.3,9.04,8.87,8.66,8.61,1210,1314,76,1460,656,229,78
스포츠,6.97,7.6,7.15,7.31,7.25,7.25,7.77,957,1142,87,1026,557,277,158
전쟁,8.45,8.73,8.79,8.57,8.48,8.64,8.68,10788,10154,659,8253,5360,4784,2009
뮤지컬,8.63,8.72,8.84,8.79,8.66,8.69,8.58,2838,7637,270,2529,4890,2344,438
리얼리티,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서부,7.97,7.92,7.94,8.05,7.79,7.88,8,1771,1371,92,1486,751,542,250
게임쇼,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토크쇼,0,0,0,0,0,0,0,0,0,0,0,0,0,0
